127.0.0.1 - - [26/Jan/2023:21:36:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:19 +0530] "GET /TechBlog/ HTTP/1.1" 200 8050
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:19 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:19 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:21 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:24 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:25 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:25 +0530] "GET /TechBlog/pics/IMG_20220529_115416.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:47 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:36:48 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:38:55 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10850
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:40:23 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11226
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:41:02 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11229
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:43:22 +0530] "GET /TechBlog/ HTTP/1.1" 200 8050
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:43:26 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:43:29 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:43:29 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11100
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:54:49 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 12148
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:56:24 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 12129
0:0:0:0:0:0:0:1 - - [26/Jan/2023:21:57:47 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 12149
