127.0.0.1 - - [14/Jan/2023:15:11:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:11:57 +0530] "GET /TechBlog/ HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:11:57 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:11:57 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:11:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:12:04 +0530] "GET /TechBlog/login_page HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:15:09 +0530] "GET /TechBlog/src/main/webapp/login_page HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:15:15 +0530] "GET /TechBlog/src/main/webapp/login_page HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:16:22 +0530] "GET /TechBlog/src/main/webapp/login_page.jsp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:16:26 +0530] "GET /TechBlog/src/main/webapp/login_page.jsp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:18:23 +0530] "GET /TechBlog/login_page HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:18:54 +0530] "GET /TechBlog/ HTTP/1.1" 200 7934
0:0:0:0:0:0:0:1 - - [14/Jan/2023:15:19:05 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:01:33 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:03:33 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:04:40 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:06:24 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:06:56 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:41:11 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:41:13 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:41:14 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:41:14 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:26 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:27 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:27 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:27 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:28 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:38 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:48 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:48 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:42:48 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 200 42
