127.0.0.1 - - [30/Jan/2023:22:12:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:26 +0530] "GET /TechBlog/ HTTP/1.1" 200 8050
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:27 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:27 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:33 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:38 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:39 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13117
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:12:39 +0530] "GET /TechBlog/pics/IMG_20220529_115416.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:13:02 +0530] "POST /TechBlog/AddPostServlet HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:18:11 +0530] "POST /TechBlog/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:24:22 +0530] "POST /TechBlog/AddPostServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:25:39 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:25:39 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:25:46 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:25:46 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13266
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:26:11 +0530] "POST /TechBlog/AddPostServlet HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:29:18 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:29:18 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:29:20 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:29:20 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13266
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:29:35 +0530] "POST /TechBlog/AddPostServlet HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:31:03 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:31:03 +0530] "GET /TechBlog/login_page.jsp HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:31:05 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:22:31:05 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 13266
